Mes ano,Puerto,Volumen carga,Numero de buques,Calado,Productividad
SEP 2022,Contecon Guayaquil,517899.52,63.00,12.50,285.76
OCT 2022,Contecon Guayaquil,427993.86,63.00,12.50,300.52
NOV 2022,Contecon Guayaquil,456891.90,67.00,12.50,283.51
DIC 2022,Contecon Guayaquil,425146.27,70.00,12.50,277.13
ENE 2022,Dp World Posorja,158785.74,14.00,16.50,803.45
FEB 2022,Dp World Posorja,175900.72,18.00,16.50,746.07
MAR 2022,Dp World Posorja,141437.73,13.00,16.50,1080.34
ABR 2022,Dp World Posorja,182913.44,17.00,16.50,679.98
MAY 2022,Dp World Posorja,189614.11,14.00,16.50,1166.64
JUN 2022,Dp World Posorja,211973.10,19.00,16.50,922.02
JUL 2022,Dp World Posorja,230418.78,23.00,16.50,753.74
AGO 2022,Dp World Posorja,322961.04,20.00,16.50,1317.46
SEP 2022,Dp World Posorja,356789.96,21.00,16.50,1309.51
OCT 2022,Dp World Posorja,383311.68,25.00,16.50,1277.41
NOV 2022,Dp World Posorja,326659.75,20.00,16.50,1260.60
DIC 2022,Dp World Posorja,344056.80,25.00,16.50,1150.38
ENE 2023,Contecon Guayaquil,556561.14,73.00,12.50,261.78
FEB 2023,Contecon Guayaquil,484087.90,60.00,12.50,305.78
MAR 2023,Contecon Guayaquil,488715.34,60.00,12.50,280.85
ABR 2023,Contecon Guayaquil,547905.33,61.00,12.50,309.71
MAY 2023,Contecon Guayaquil,511797.28,58.00,12.50,360.41
JUN 2023,Contecon Guayaquil,470192.52,62.00,12.50,328.07
JUL 2023,Contecon Guayaquil,545676.55,70.00,12.50,302.72
AGO 2023,Contecon Guayaquil,536033.78,64.00,12.50,327.17
SEP 2023,Contecon Guayaquil,477256.82,63.00,12.50,293.29
OCT 2023,Contecon Guayaquil,546753.06,70.00,12.50,310.82
NOV 2023,Contecon Guayaquil,486390.03,65.00,12.50,338.87
DIC 2023,Contecon Guayaquil,503289.72,73.00,12.50,345.83
ENE 2023,Dp World Posorja,175027.65,23.00,16.50,580.79
FEB 2023,Dp World Posorja,182421.40,20.00,16.50,648.66
MAR 2023,Dp World Posorja,177409.19,20.00,16.50,735.59
ABR 2023,Dp World Posorja,170625.92,21.00,16.50,632.98
MAY 2023,Dp World Posorja,174924.69,20.00,16.50,731.78
JUN 2023,Dp World Posorja,167860.22,21.00,16.50,650.22
JUL 2023,Dp World Posorja,129924.89,20.00,16.50,566.12
AGO 2023,Dp World Posorja,164434.49,23.00,16.50,594.68
SEP 2023,Dp World Posorja,146825.36,20.00,16.50,573.13
OCT 2023,Dp World Posorja,165190.34,23.00,16.50,608.70
NOV 2023,Dp World Posorja,122606.51,19.00,16.50,602.49
DIC 2023,Dp World Posorja,231349.08,26.00,16.50,649.20
ENE 2024,Contecon Guayaquil,216772.68,52.00,12.50,206.19
FEB 2024,Contecon Guayaquil,163948.15,43.00,12.50,224.42
MAR 2024,Contecon Guayaquil,221085.16,47.00,12.50,190.20
ABR 2024,Contecon Guayaquil,189103.13,35.00,12.50,205.08
MAY 2024,Contecon Guayaquil,200859.33,37.00,12.50,257.73
JUN 2024,Contecon Guayaquil,186099.76,38.00,12.50,195.62
JUL 2024,Contecon Guayaquil,162417.84,38.00,12.50,191.25
AGO 2024,Contecon Guayaquil,212480.38,47.00,12.50,190.03
SEP 2024,Contecon Guayaquil,197535.04,40.00,12.50,298.29
OCT 2024,Contecon Guayaquil,301846.81,52.00,12.50,320.98
NOV 2024,Contecon Guayaquil,332934.47,58.00,12.50,257.46
DIC 2024,Contecon Guayaquil,381397.30,53.00,12.50,308.72
ENE 2024,Dp World Posorja,343309.20,31.00,16.50,922.50
FEB 2024,Dp World Posorja,353366.40,33.00,16.50,981.19
MAR 2024,Dp World Posorja,372393.43,30.00,16.50,1091.20
ABR 2024,Dp World Posorja,471338.12,37.00,16.50,1121.86
MAY 2024,Dp World Posorja,375294.29,35.00,16.50,867.77
JUN 2024,Dp World Posorja,394427.02,32.00,16.50,1045.62
JUL 2024,Dp World Posorja,438007.08,34.00,16.50,1096.47
AGO 2024,Dp World Posorja,456709.06,34.00,16.50,1158.51
SEP 2024,Dp World Posorja,405597.68,33.00,16.50,1085.79
OCT 2024,Dp World Posorja,406315.58,35.00,16.50,1027.84
NOV 2024,Dp World Posorja,212372.37,30.00,16.50,599.82
DIC 2024,Dp World Posorja,436561.39,32.00,16.50,1105.08
